id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1751491183304397234,"@Diamondlssues ""Small problem. I don't want to annoy her. You on the other hand...""",https://twitter.com/BlueMirrorGem/status/1751491183304397234,tweet,Lapis Lazuli,@BlueMirrorGem,Outside Your Window,@Diamondlssues,,0,0,0,0,-,0,2024-01-28 01:23:33,,
1751490993197662494,@notbritizh annoy aberyone with my cuteness,https://twitter.com/voeutx/status/1751490993197662494,tweet,Sweetly,@voeutx,"phantasm of qian, 1999 ",@notbritizh,,0,0,0,0,3,0,2024-01-28 01:22:48,,
1751490562228908405,@mclnorris I saw it and thought it was gonna annoy me but I actually laughed at this one,https://twitter.com/Jess_maree31693/status/1751490562228908405,tweet,Jess 16+3+93 || GOING TO THE AUS GP🏁,@Jess_maree31693,Australia,@mclnorris,,0,0,0,0,5,0,2024-01-28 01:21:05,,
1751490280207831509,My dumbass would still be able to find a way to annoy someone,https://twitter.com/euphxrix/status/1751490280207831509,tweet,アネール,@euphxrix,,,,0,0,0,1,16,0,2024-01-28 01:19:58,,
1751488756820095402,"Just drove from the valley w wife.

Listened to the entire Hybrid Theory album on CD.

She didn’t speak the entire time, nor annoy me by scrolling her phone.

She sat still, and learned. 

I love her.",https://twitter.com/doggospain/status/1751488756820095402,tweet,Motor City Dan,@doggospain,New Jersey,,,0,0,1,2,72,0,2024-01-28 01:13:55,,
1751487869943009441,충전기 잊어버리지말고,https://twitter.com/annoy92/status/1751487869943009441,tweet,구비,@annoy92,,,,0,0,0,0,2,0,2024-01-28 01:10:23,,
1751487792297787723,Man if I was a female rapper I would just annoy and irritate other rappers for fun. I wouldn’t have anything against them I would just piss them off and laugh LOL ignore me I’m faded. AHAAHAA,https://twitter.com/indigojkk/status/1751487792297787723,tweet,BTS KINGS⁷,@indigojkk,BLACK/MINORS DNI,,,0,0,0,0,12,0,2024-01-28 01:10:05,,
1751487484427432049,"@RestutiorOrbis @ducktales2020 @dklmarxist Its good to annoy anyone involved in the ""confederate flag society""",https://twitter.com/chubbisbubbis/status/1751487484427432049,tweet,chub,@chubbisbubbis,,"@RestutiorOrbis,@ducktales2020,@dklmarxist",,0,0,0,0,12,0,2024-01-28 01:08:52,,
1751487254164566245,Ma annoy ako sa mga taong pa importante like paki tignan sa self kung bagay ba talaga grrrrr,https://twitter.com/kurtystarrr/status/1751487254164566245,tweet,kikø,@kurtystarrr,Cotabato City,,,0,0,0,0,6,0,2024-01-28 01:07:57,,
1751487080918667377,@kangaroos991 You spelled annoy the fuck out of wrong,https://twitter.com/MonkeyAssassin1/status/1751487080918667377,tweet,Ninja🐵Monkey,@MonkeyAssassin1,Chicago,@kangaroos991,,0,0,0,0,3,0,2024-01-28 01:07:15,,
